 Region,Seed,vsBR1,vsCN1,vsCN2,vsCN3,vsCIS1,vsEU1,vsEU2,vsEU3,vsJP1,vsKR1,vsKR2,vsKR3,vsLAN1,vsLAS1,vsLMS1,vsLMS2,vsLMS3,vsNA1,vsNA2,vsNA3,vsOCE1,vsSEA1,vsSEA2,vsTR1,vsTW1,vsTW2
KR,2,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
KR,3,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
LAN,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
LAS,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
LMS,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
LMS,2,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
LMS,3,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
NA,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
NA,2,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
NA,3,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
OCE,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
SEA,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
SEA,2,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
TR,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
TW,1,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
TW,2,"['BR', 1, 0, 0]","['CN', 1, 0, 0]","['CN', 2, 0, 0]","['CN', 3, 0, 0]","['CIS', 1, 0, 0]","['EU', 1, 0, 0]","['EU', 2, 0, 0]","['EU', 3, 0, 0]","['JP', 1, 0, 0]","['KR', 1, 0, 0]","['KR', 2, 0, 1]","['KR', 3, 0, 0]","['LAN', 1, 0, 0]","['LAS', 1, 0, 0]","['LMS', 1, 0, 0]","['LMS', 2, 0, 0]","['LMS', 3, 0, 0]","['NA', 1, 0, 0]","['NA', 2, 0, 0]","['NA', 3, 1, 0]","['OCE', 1, 0, 0]","['SEA', 1, 0, 0]","['SEA', 2, 0, 0]","['TR', 1, 0, 0]","['TW', 1, 0, 0]","['TW', 2, 0, 0]"
